fecha,danos,problema_principal,descripcion,monto
2022-02-17,3 Metros  de Guarnición,Derribado,Derribada,1170.81
2022-02-01,Luminaria,Derribado,Derribada,23416.960000000003
2022-02-08,Poste Metálico Cónico de 9 Metros,Derribado,Derribado,22496.85
2022-02-01,Bolardo,Derribado,Derribado,3857.63
2022-02-28,Árbol,Derribado,Derribado,4811
2022-02-10,5 árboles,Derribado,Derribados,4811
2022-02-01,Bolardo,Derribado,Derribado,3857.63
2022-02-01,Bolardo,Derribado,Derribado,4191.929999999999
2022-02-23,Luminaria Metálica,Derribado,Derribada,24133.45
2022-02-25,Árbol,Derribado,Derribado,12508.6
2022-02-14,Área Verde,Demolido,Demolida,7697.6
2022-02-14,Guarnición y Concreto,Derribado,Derribada,2366.72
2022-03-22,Árboles,Derribado,Derribados,8962.4
2022-03-15,Poste de Camara de Seguridad,Derribado,Derribada,15428
2022-03-15,Poste Metálico,Derribado,Derribado,31555.780000000002
2022-03-15,Bote de Basura,Derribado,Derribados,3902.8300000000004
2022-03-14,Paradero,Derribado,Derribado,37500.82
2022-03-08,Guarnición y Árbol,Derribado,Derribados,5235.969999999999
2022-03-15,Paradero de Bicicleta,Derribado,Derribados,32184.129999999997
2022-03-02,Semáforo,Derribado,Derribado,63135.93
2022-03-10,Poste Metálico,Derribado,Derribado,34247.78999999999
2022-03-04,Poste Metetálico,Derribado,Derribado,24133.45
2022-03-08,2 Guardapeatones y una Maceta,Demolido,Demolición de Concreto y golpes a la meceta,7715.25
2022-03-10,Poste de Luz,Derribado,Derribado,27941.07
2022-03-08,3 Bolardos,Demolido,Demolición,15477.81
2022-03-24,Señalética,Doblado,Doblada su Estructura,2319.8100000000004
2022-03-10,Guarnición,Demolido,Demolición de Concreto,1816.84
2022-03-04,Guarnición,Demolido,Demolición de Concreto,836.9499999999999
2022-03-22,Guardapeatón,Derribado,Derribado,2941.48
2022-03-03,Banderola Metálica,Derribado,Derribado,2319.8100000000004
2022-03-14,Guarnición,Demolido,Demolición,391.33
2022-03-25,Señalética,Derribado,Derribada,2900
2022-03-15,Bolardo,Derribado,Derribado,3857.63
2022-03-10,Chaleco Balístico,Deteriorado,Deteriorado,3000
2022-05-06,Guardapeatón y Pavimento,Demolido,Demolición,9805.230000000001
2022-05-06,Magueyes y Guarnición,Derribado,Derribo y Raspaduras,5802.02
2022-05-18,Luminaria,Derribado,Derribada,10657.8
2022-05-12,Luminaria,Derribado,Derribada,25638.16
2022-05-19,Guarnición,Rayado,Rayadura,636.2
2022-05-18,Guarnición de Concreto y Monumento,Derribado,Derribada,3076.19
2022-05-26,Poste de Alumbrado Público,Deteriorado,Deterioro en Poste,10503.949999999999
2022-05-27,Luminaria,Derribado,Derribada,25318.84
2022-05-20,Bolardo,Derribado,Derribado,3076.19
2022-05-20,Poste de Alumbrado Público,Deteriorado,Deterioro en poste,16461.7
2022-05-25,Poste de Alumbrado Público,Derribado,Derribado,23282.64
2022-01-13,Camellón Central,Demolido,Demolición,2047.05
2023-01-13,Señalética,Derribado,Derribado,2319.8100000000004
2023-01-20,Muro,Demolido,Demolición,42677.99
2023-01-06,Árbol,Derribado,Derribado,4811
2023-01-06,Guarnición,Derribado,Derribado,6370.87
